id,authors,title
1,"Sebastian Cmentowski, Andrey Krekhov and Jens Krüger","""I Packed My Bag and in It I Put..."": A Taxonomy of Inventory Systems for Virtual Reality Games"
2,"Linus Gisslén, Andy Eakins, Camilo Gordillo, Joakim Bergdahl and Konrad Tollmar",Adversarial Reinforcement Learning for Procedural Content Generation
3,Shikhar Juyal,An Exploration into “Perceived Sense of Challenge” in Level Design for fast paced Casual Mobile Games
4,Yutong Shi,Designing and Comparing Time Rewind Mechanics in 2D Interactive Game
6,"Simão Reis, Luis Paulo Reis and Nuno Lau",VGC AI Competition - A New Model of Meta-Game Balance AI Competition
7,"Camilo Gordillo, Joakim Bergdahl, Konrad Tollmar and Linus Gisslen",Improving Playtesting Coverage via Curiosity Driven Reinforcement Learning Agents
10,Thomas Beck and Sylvia Rothe,Applying diegetic cues to an interactive virtual reality experience
11,"Amani Maina-Kilaas, George Montañez, Cynthia Hom, Kevin Ginta and Cindy Lay",The Hero's Dilemma: Survival Advantages of Intention Perception in Virtual Agent Games
13,Stefan Edelkamp,Knowledge-Based Paranoia Search in Skat
22,"Maren Awiszus, Frederik Schubert and Bodo Rosenhahn",World-GAN: a Generative Model for Minecraft Worlds
26,"Jason Bowey, Julian Frommel, Brandon Piller and Regan Mandryk",Predicting Beliefs from NPC Dialogues
27,"Henry Ward, Daniel Brooks, Dan Troha, Bobby Mills and Arseny Khakhalin",AI solutions for drafting in Magic: the Gathering
29,"Cem Tutum, Suhaib Abdulquddos and Risto Miikkulainen",Generalization of Agent Behavior through Explicit Representation of Context
32,"Átila Moreira, Francisco Ramos, Flávia Barros and Geber Ramalho",Economic Indicators for Decision-Making in Operating Massive Multiplayer Online Games
33,"Sofia Eleni Spatharioti, Sara Wylie and Seth Cooper",Exploring Q-Learning for Adaptive Difficulty in a Tile-based Image Labeling Game
37,"Chintan Trivedi, Antonios Liapis and Georgios Yannakakis",Contrastive Learning of Generalized Game Representations
39,Lilian Buzer and Tristan Cazenave,Playout Optimization
43,"Tristan Cazenave, Swann Legras and Véronique Ventos",Optimizing αμ
44,"Matthias Müller-Brockhausen, Mike Preuss and Aske Plaat",A New Challenge: Approaching Tetris Link with AI
46,Gabriel C. Natucci and Marcos A. F. Borges,"The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games"
48,Christian Arzate Cruz and Takeo Igarashi,Interactive Explanations: Diagnosis and Repair of Reinforcement Learning Based Agent Behaviors
53,"Gianfranco Siracusa, Dylan Seychell and Mark Bugeja",Blending Output from Generative Adversarial Networks to Texture High-Resolution 2D Town Maps for Roleplaying Games
58,Tristan Cazenave,Improving Model and Search for Computer Go
63,Connor Gregor,Measuring Difficulty of Novel Clockwork Puzzle Using Evolutionary Algorithms
66,Jan Krejsa and Fotis Liarokapis,A Novel Lip Synchronization Approach for Games and Virtual Environments
67,"Felix Born, Linda Graf and Maic Masuch",Exergaming: The Impact of Virtual Reality on Cognitive Performance and Player Experience
69,"Panayiotis Koutsabasis, Anna Gardeli, Konstantinos Partheniadis, Panagiotis Vogiatzidakis, Vasiliki Nikolakopoulou, Pavlos Chatzigrigoriou and Spyros Vosinakis",Field Playtesting with Experts’ Constructive Interaction: An Evaluation Method for Mobile Games for Cultural Heritage
70,"Marjorie Ann Cuerdo, Anika Mahajan and Edward Melcer",Die-r Consequences: Player Experience and the Design of Failure through Respawning Mechanics
71,Sebastian Cmentowski and Jens Krueger,Effects of Task Type and Wall Appearance on Collision Behavior in Virtual Environments
73,"Luciana Lima, Camila Pinto, Patrícia Gouveia and Pedro Cardoso",‘I Never Imagined That I Would Work In The Digital Game Industry’
75,"Timo Bertram, Johannes Fürnkranz and Martin Müller",Predicting Human Card Selection in Magic: The Gathering with Contextual Preference Ranking
